GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket-service,com.epam.training.ticketservice.shellcomponent,MovieCommands,46,0,6,0,10,0,7,0,4,0
ticket-service,com.epam.training.ticketservice.shellcomponent,CustomPromptProvider,8,0,0,0,2,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.shellcomponent,ExitCommand,6,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.shellcomponent,ScreeningCommands,34,0,4,0,7,0,5,0,3,0
ticket-service,com.epam.training.ticketservice.shellcomponent,PriceComponentCommands,70,0,10,0,16,0,11,0,6,0
ticket-service,com.epam.training.ticketservice.shellcomponent,RoomCommands,50,0,6,0,11,0,8,0,5,0
ticket-service,com.epam.training.ticketservice.shellcomponent,BookingCommands,19,0,2,0,3,0,2,0,1,0
ticket-service,com.epam.training.ticketservice.shellcomponent,UserCommands,29,0,0,0,11,0,5,0,5,0
ticket-service,com.epam.training.ticketservice.utility,ScreeningTool,0,91,0,6,0,19,0,5,0,2
ticket-service,com.epam.training.ticketservice.utility,DateParser,3,90,0,10,1,22,1,9,1,4
ticket-service,com.epam.training.ticketservice,Application,8,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.account,UserHandler,0,120,0,12,0,29,0,13,0,7
ticket-service,com.epam.training.ticketservice.account,AccountType,0,34,0,0,0,2,0,1,0,1
ticket-service,com.epam.training.ticketservice.dtos,Seat,0,25,0,0,0,6,0,2,0,2
ticket-service,com.epam.training.ticketservice.services.impl,UserServiceImpl,0,29,0,2,0,7,0,3,0,2
ticket-service,com.epam.training.ticketservice.services.impl,PriceComponentServiceImpl,0,96,0,0,0,18,0,7,0,7
ticket-service,com.epam.training.ticketservice.services.impl,ScreeningServiceImpl,0,156,0,10,0,34,0,8,0,3
ticket-service,com.epam.training.ticketservice.services.impl,RoomServiceImpl,0,87,0,4,0,18,0,6,0,4
ticket-service,com.epam.training.ticketservice.services.impl,MovieServiceImpl,0,76,0,4,0,17,0,6,0,4
ticket-service,com.epam.training.ticketservice.services.impl,BookServiceImpl,0,272,0,18,0,51,0,15,0,6
ticket-service,com.epam.training.ticketservice.entities,RoomEntity,0,20,0,0,0,7,0,1,0,1
ticket-service,com.epam.training.ticketservice.entities,BookEntity,0,15,0,0,0,6,0,1,0,1
ticket-service,com.epam.training.ticketservice.entities,MovieEntity,0,20,0,0,0,7,0,1,0,1
